"","X","Z","Y","block"
"1",1,TRUE,1,3
"2",2,TRUE,0,3
"3",3,FALSE,0,3
"4",4,TRUE,0,3
"5",5,TRUE,1,3
"6",6,TRUE,0,3
"7",7,TRUE,1,3
"8",8,FALSE,1,3
"9",9,FALSE,0,3
"10",10,FALSE,1,3
"11",11,FALSE,0,3
"12",12,FALSE,1,3
"13",13,TRUE,1,3
"14",14,FALSE,1,3
"15",15,TRUE,0,3
"16",16,TRUE,0,3
"17",17,TRUE,0,3
"18",18,TRUE,1,3
"19",19,FALSE,1,3
"20",20,FALSE,0,3
"21",21,FALSE,1,3
"22",22,TRUE,1,3
"23",23,TRUE,1,3
"24",24,TRUE,1,3
"25",25,FALSE,1,3
"26",26,TRUE,1,3
"27",27,TRUE,1,3
"28",28,TRUE,0,3
"29",29,FALSE,1,3
"30",30,FALSE,1,3
"31",31,TRUE,1,4
"32",32,TRUE,1,4
"33",33,TRUE,1,4
"34",34,FALSE,1,4
"35",35,FALSE,1,4
"36",36,TRUE,1,4
"37",37,TRUE,1,4
"38",38,FALSE,1,4
"39",39,TRUE,1,4
"40",40,TRUE,1,4
"41",41,FALSE,1,4
"42",42,TRUE,1,4
"43",43,FALSE,1,4
"44",44,TRUE,1,4
"45",45,TRUE,1,4
"46",46,TRUE,1,4
"47",47,TRUE,0,4
"48",48,FALSE,0,4
"49",49,TRUE,1,4
"50",50,FALSE,1,4
"51",51,FALSE,1,4
"52",52,FALSE,1,4
"53",53,TRUE,1,4
"54",54,FALSE,1,4
"55",55,TRUE,1,4
"56",56,FALSE,1,4
"57",57,TRUE,1,4
"58",58,TRUE,1,4
"59",59,TRUE,1,4
"60",60,FALSE,1,4
"61",61,FALSE,0,5
"62",62,TRUE,0,5
"63",63,TRUE,0,5
"64",64,TRUE,1,5
"65",65,FALSE,0,5
"66",66,TRUE,0,5
"67",67,FALSE,1,5
"68",68,FALSE,1,5
"69",69,TRUE,0,5
"70",70,FALSE,0,5
"71",71,TRUE,0,5
"72",72,TRUE,0,5
"73",73,FALSE,0,5
"74",74,TRUE,0,5
"75",75,TRUE,0,5
"76",76,TRUE,0,5
"77",77,TRUE,0,5
"78",78,FALSE,0,5
"79",79,TRUE,1,5
"80",80,FALSE,0,5
"81",81,TRUE,0,5
"82",82,TRUE,0,5
"83",83,TRUE,0,5
"84",84,TRUE,1,5
"85",85,FALSE,0,5
"86",86,TRUE,0,5
"87",87,TRUE,0,5
"88",88,FALSE,1,5
"89",89,FALSE,0,5
"90",90,TRUE,0,5
"91",91,TRUE,1,6
"92",92,TRUE,1,6
"93",93,TRUE,1,6
"94",94,FALSE,1,6
"95",95,FALSE,0,6
"96",96,TRUE,1,6
"97",97,TRUE,0,6
"98",98,FALSE,1,6
"99",99,FALSE,1,6
"100",100,FALSE,0,6
"101",101,FALSE,1,6
"102",102,FALSE,0,6
"103",103,FALSE,1,6
"104",104,FALSE,0,6
"105",105,TRUE,0,6
"106",106,FALSE,1,6
"107",107,TRUE,0,6
"108",108,TRUE,1,6
"109",109,TRUE,0,6
"110",110,TRUE,0,6
"111",111,FALSE,0,6
"112",112,TRUE,0,6
"113",113,FALSE,1,6
"114",114,FALSE,1,6
"115",115,FALSE,1,6
"116",116,TRUE,1,6
"117",117,TRUE,0,6
"118",118,FALSE,1,6
"119",119,FALSE,0,6
"120",120,TRUE,0,6
"121",121,TRUE,1,7
"122",122,TRUE,1,7
"123",123,TRUE,0,7
"124",124,TRUE,1,7
